Islamic Emirate of Afghanistan|Kabul|40218234|48.08|652864|Pashto|UTC+4:30Solar Calendar|Unitary autocratic Islamic provisional government|Afghani
Republic of The Gambia|Banjul|2173999|176.1|10689|English|UTC|Unitary presidential republic|Dalasi
Georgia|Tbilisi|3728573|57.6|69700|Georgian|UTC+4|Unitary parliamentary constitutional republic|Georgian lari
Federal Republic of Germany|Berlin|83190556|232|357022|German|UTC+1|Federal parliamentary republic|Euro
Republic of Ghana|Accra|31072940|101.5|239567||UTC|Unitary presidential|Cedi
Hellenic Republic|Athens|10718565|82|131957|Greek|UTC+02:00|Unitary parliamentary republic|Euro
Grenada|St. George's|111454|318.58|348.5|English|UTC−4|Unitary two-party parliamentary constitutional monarchy|East Caribbean dollar
Republic of Guatemala|Guatemala City|17263239|129|108889|Spanish|UTC−6|Unitary presidential republic|Quetzal
Republic of Guinea|Conakry|12414293|40.9|245857|French|UTC|Unitary provisional government under a military junta|Guinean franc
Republic of Guinea-Bissau|Bissau|1726000|46.9|36125|Portuguese|UTC|Unitary semi-presidential republic|West African CFA franc
Co-operative Republic of Guyana|Georgetown|743700|3.502|214970|English|UTC-4|Unitary assembly-independent republic|Guyanese dollar
Republic of Haiti|Port-au-Prince|11439646|382|27750|French|UTC−5|Unitary semi-presidential republic|Gourde
Republic of Honduras|Tegucigalpa|9587522|85|112492|Spanish|UTC−6|Unitary presidential republic|Lempira
Hungary|Budapest|9730000|105|93030|Hungarian|UTC+1|Unitary parliamentary constitutional republic|Forint
Iceland|Reykjavík|371580|3.5|102775|Icelandic|UTC|Unitary parliamentary republic|Icelandic króna
Republic of India|New Delhi|1352642280|413.6|3287263|Hindi|UTC+05:30|Federal parliamentary constitutional republic|Indian rupee
Republic of Indonesia|Jakarta|270203917|141|1904569|Indonesian|UTC+7 to +9|Unitary presidential constitutional republic|Indonesian rupiah
Islamic Republic of Iran|Tehran|83183741|48|1648195|Persian|UTC+3:30|Unitary Khomeinist presidential Islamic republic|Iranian rial
Republic of Iraq|Baghdad|40222503|82.7|438317|Arabic|UTC+3|Federal parliamentary republic|Iraqi dinar
Ireland|Dublin|5011500|71.3|70273|Irish|UTC|Unitary parliamentary republic|Euro
State of Israel|Jerusalem|9446780|428|20770–22072|Hebrew|UTC+2|Unitary parliamentary constitutional republic|New shekel
Italian Republic|Rome|60317116|201.3|301340|Italian|UTC+1|Unitary parliamentary constitutional republic|Euro
Republic of Côte d'Ivoire|Yamoussoukro|26378274|63.9|322463|French|UTC|Unitary presidential constitutional republic|West African CFA franc
Jamaica|Kingston|2726667|266|10991|English|UTC-5|Unitary parliamentary constitutional monarchy|Jamaican dollar
Japan|Tokyo|125360000|334|377975|Japanese|UTC+09:00|Unitary parliamentary constitutional monarchy|Japanese yen
Hashemite Kingdom of Jordan|Amman|11042719|114|89342|Arabic|UTC+2|Unitary parliamentary semi-constitutional monarchy|Jordanian dinar
Republic of Kazakhstan|Nur-Sultan|19082467|7|2724900|Kazakh|UTC+5 / +6|Unitary dominant-party presidential constitutional republic|Tenge
Republic of Kenya|Nairobi|54985698|78|580367|English|UTC+3|Unitary presidential constitutional republic|Kenyan shilling
Republic of Kiribati|South Tarawa|119940|151.9|811|English|UTC+12, +13, +14|Unitary parliamentary republic with an executive presidency|Australian dollar
Democratic People's Republic of Korea|Pyongyang|25549604|212|120540|Korean|UTC+9|Unitary Jucheist one-party socialist republic under a totalitarian hereditary dictatorship|Korean People's won
Republic of Korea|Seoul|51709098|507|100363|Korean|UTC+9|Unitary presidential constitutional republic|Korean Republic won
State of Kuwait|Kuwait City|4420110|200.2|17818|Arabic|UTC+3|Unitary semi-constitutional emirate|Kuwaiti dinar
Kyrgyz Republic|Bishkek|6586600|27.4|199951|Kyrgyz|UTC+6|Unitary presidential constitutional republic|Kyrgyzstani som
Lao People's Democratic Republic|Vientiane|7123205|26.7|237955|Lao|UTC+7|Unitary Marxist–Leninist one-party socialist republic|Kip
Republic of Latvia|Riga|1907675|29.6|64589|Latvian|UTC+2|Unitary parliamentary constitutional republic|Euro
Lebanese Republic|Beirut|6859408|560|10452|Arabic|UTC+2|Unitary parliamentary confessionalist constitutional republic|Lebanese pound
Kingdom of Lesotho|Maseru|2108328|68.1|30355|Sesotho|UTC+2|Unitary parliamentary constitutional monarchy|Loti
Republic of Liberia|Monrovia|5214030|40.43|111369|English|UTC|Unitary presidential constitutional republic|Liberian dollar
State of Libya|Tripoli|6992701|3.74|1759541|Arabic|UTC+2|Unitary provisional unity government|Libyan dinar
Principality of Liechtenstein|Vaduz|38896|237|160|German|UTC+01:00|Unitary semi-direct democracy under a parliamentary semi-constitutional monarchy|Swiss franc
Republic of Lithuania|Vilnius|2784279|43|65300|Lithuanian|UTC+2|Unitary semi-presidential republic|Euro
Grand Duchy of Luxembourg|Luxembourg City|633622|242|2586.4|Luxembourgish|UTC+1|Unitary parliamentary constitutional monarchy|Euro
Republic of Madagascar|Antananarivo|28427328|35.2|587041|Malagasy|UTC+3|Unitary semi-presidential constitutional republic|Ariary
Republic of Malawi|Lilongwe|19129952|153.1|118484|English|UTC+2|Unitary presidential republic|Malawian kwacha
Malaysia|Putrajaya|32730000|92|330803|Malay|UTC+8|Federal parliamentary elective constitutional monarchy|Ringgit
Republic of Maldives|Malé|557426|1102.5|300|Dhivehi|UTC+5|Unitary presidential constitutional republic|Maldivian rufiyaa
Republic of Mali|Bamako|20250833|11.7|1240192|French|UTC|Unitary semi-presidential republic currently under a military junta|West African CFA franc
Republic of Malta|Valletta|514564|1633|316|Maltese|UTC+1|Unitary parliamentary constitutional republic|Euro
Republic of the Marshall Islands|Majuro|58413|293.0|181.43|Marshallese|UTC+12|Unitary parliamentary republic with an executive presidency|United States dollar
Islamic Republic of Mauritania|Nouakchott|4403313|3.4|1030000|Arabic|UTC|Unitary semi-presidential Islamic republic|Ouguiya
Republic of Mauritius|Port Louis|1265475|618.24|2040|de jure|UTC+4|Unitary parliamentary constitutional republic|Mauritian rupee
United Mexican States|Mexico City|126014024|61|1972550|Afar|UTC−8 to −5|Federal presidential constitutional republic|Mexican peso
Federated States of Micronesia|Palikir|104468|158.1|702|English|UTC+10 and +11|Federal assembly-independent republic under a non-partisan democracy|United States dollar
Republic of Moldova|Chișinău|2597100|85.5|33843.5|Romanian|UTC+2|Unitary parliamentary constitutional secular republic|Moldovan leu
Principality of Monaco|city-state|38300|18713|2.02|French|UTC+1|Unitary semi-constitutional monarchy|Euro
Mongolia|Ulaanbaatar|3353470|2.07|1564116|Mongolian|UTC+7/+8|Unitary semi-presidential republic|Tögrög
Montenegro|Podgorica|621873|45|13812|Montenegrin|UTC+1|Unitary parliamentary constitutional republic|Euro
Kingdom of Morocco|Rabat|37112080|50.0|710850|Arabic|UTC+1|Unitary parliamentary semi-constitutional monarchy|Moroccan dirham
Republic of Mozambique|Maputo|30066648|28.7|801590|Portuguese|UTC+2|Unitary dominant-party semi-presidential constitutional republic|Metical
Republic of the Union of Myanmar|Naypyidaw|53582855|76|676578|Burmese|UTC+06:30|Unitary assembly-independent republic under a military junta|Kyat
Republic of Namibia|Windhoek|2550226|3.2|825615||UTC+2|Unitary dominant-party semi-presidential constitutional republic|Namibian dollar
Republic of Nauru|Yaren|10670|480|21|Nauruan|UTC+12|Unitary parliamentary republic with an executive presidency under a non-partisan democracy|Australian dollar
Federal Democratic Republic of Nepal|Kathmandu|28095714|180|147516|Nepali|UTC+05:45|Federal parliamentary republic|Nepalese rupee
New Zealand|Wellington|5134080|19.1|268021|English|UTC+12|Unitary parliamentary constitutional monarchy|New Zealand dollar
Republic of Nicaragua|Managua|6486201|51|130375|Spanish|UTC−6|Unitary dominant-party presidential constitutional republic|Córdoba
Republic of the Niger|Niamey|24112753|12.1|1267000|French|UTC+1|Unitary semi-presidential republic|West African CFA franc
Federal Republic of Nigeria|Abuja|211400708|218|923769|English|UTC+01:00|Federal presidential constitutional republic|Naira
Republic of North Macedonia|Skopje|1832696|80.1|25713|Macedonian|UTC+1|Unitary parliamentary republic|Macedonian denar
Kingdom of Norway|Oslo|5402171|14.0|385207|Norwegian|UTC+1|Unitary parliamentary constitutional monarchy|Norwegian krone
Sultanate of Oman|Muscat|4829473|15|309500|Arabic|UTC+4|Unitary Islamic absolute monarchy|Omani rial
Islamic Republic of Pakistan|Islamabad|226992332|244.4|881913|Urdu|UTC+05:00|Federal parliamentary constitutional republic|Pakistani rupee
Republic of Palau|Ngerulmud|17907|46.7|459|Palauan|UTC+9|Unitary presidential constitutional republic under a non-partisan democracy|United States dollar
Republic of Panama|Panama City|4379039|56|75417|Spanish|UTC−5|Unitary presidential constitutional republic|Balboa
Independent State of Papua New Guinea|Port Moresby|8935000|15|462840|English|UTC+10, +11|Unitary parliamentary constitutional monarchy|Kina
Republic of Paraguay|Asunción|7359000|18.00|406796|Spanish|UTC–4|Unitary presidential republic|Guaraní
Republic of Peru|Lima|34294231|23|1285216|Spanish
Co-Official|UTC−5|Unitary presidential republic|Sol
Republic of the Philippines|Manila|109035343|336|300000|Filipino|UTC+08:00|Unitary presidential constitutional republic|Philippine peso
Republic of Poland|Warsaw|38268000|123|312696|Polish|UTC+1|Unitary parliamentary republic|Złoty
Portuguese Republic|Lisbon|10344802|112.2|92212|Portuguese|UTC   UTC−1|Unitary semi-presidential constitutional republic|Euro
State of Qatar|Doha|2795484|176|11581|Arabic|UTC+3|Unitary semi-constitutional monarchy|Qatari riyal
Romania|Bucharest|19186201|80.4|238397|Romanian|UTC+2|Unitary semi-presidential republic|Romanian leu
Russian Federation|Moscow|146171015|8.4|17098246 km2 
17125191|Russian|UTC+2 to +12|Federal semi-presidential constitutional republic|Russian ruble
Republic of Rwanda|Kigali|12374397|470|26338|Kinyarwanda|UTC+2|Unitary presidential constitutional republic under a dominant-party authoritarian dictatorship|Rwandan franc
Federation of Saint Christopher and Nevis|Basseterre|52441|164|261|English|UTC-4|Federal parliamentary constitutional monarchy|East Caribbean dollar
Saint Lucia|Castries|184401|299.4|617|English|UTC−4|Unitary parliamentary constitutional monarchy|East Caribbean dollar
Saint Vincent and the Grenadines|Kingstown|110211|307|389|English|UTC-4|Unitary parliamentary constitutional monarchy|East Caribbean dollar
Independent State of Samoa|Apia|202506|70|2842|Samoan|UTC+13|Unitary parliamentary constitutional republic|Tālā
Republic of San Marino|San Marino|33600|520|61.2|Italian|UTC+01|Unitary assembly-independent diarchic directorial republic|Euro
Democratic Republic of|São Tomé|211028|199.7|1001|Portuguese|UTC|Unitary semi-presidential republic|Dobra
Kingdom of Saudi Arabia|Riyadh|34218169|15|2149690|Arabic|UTC+3|Unitary Islamic absolute monarchy|Saudi Riyal
Republic of Senegal|Dakar|15854323|68.7|196712|French|UTC|Unitary presidential republic|West African CFA franc
Republic of Serbia|Belgrade|6871547|89|88361|Serbian|UTC+1|Unitary parliamentary constitutional republic|Serbian dinar
Republic of Seashells|Victoria|98462|214.5|459|English|UTC+4|Unitary presidential republic|Seychellois rupee
Republic of Sierra Leone|Freetown|8059155|112|71740|English|UTC|Unitary presidential constitutional republic|Leone
Republic of Singapore||5453600|7804|728.6|English|UTC+8|Unitary dominant-party parliamentary constitutional republic|Singapore dollar
Slovak Republic|Bratislava|5449270|111|49035|Slovak|UTC+1|Unitary parliamentary constitutional republic|Euro
Republic of Slovenia|Ljubljana|2107126|103|20271|Slovene|UTC+1|Unitary parliamentary constitutional republic|Euro
Solomon Islands|Honiara|652857|18.1|28400|English|UTC+11|Unitary parliamentary constitutional monarchy|Solomon Islands dollar
Federal Republic of Somalia|Mogadishu|15893219|19.31|637657|Somali|UTC+3|Federal parliamentary republic|Somali shilling
Republic of South Africa|Pretoria|60142978|42.4|1221037|English|UTC+2|Unitary dominant-party parliamentary republic with an executive presidency|South African rand
Republic of South Sudan|Juba|12778250|13.33|644329||UTC+2|Federal provisional government|South Sudanese pound
Kingdom of Spain|Madrid|47450795|94|505990|Spanish|UTC±0 to +1|Unitary  parliamentary constitutional monarchy|Euro
Democratic Socialist Republic of Sri Lanka|Sri Jayawardenepura Kotte|22156000|337.7|65610|Sinhala|UTC+5:30|Unitary semi-presidential constitutional republic|Sri Lankan rupee
Republic of the Sudan|Khartoum|44909353|21.3|1886068|Arabic|UTC+2|Federal provisional government|Sudanese pound
Republic of Suriname|Paramaribo|575990|2.9|163821|Dutch|UTC-3|Unitary assembly-independent republic|Surinamese dollar
Kingdom of Sweden|Stockholm|10402070|25|450295|Swedish|UTC+1|Unitary parliamentary constitutional monarchy|Swedish krona
Swiss Confederation|de jure|8570146|207|41285|German|UTC+1|Federal semi-direct democracy under an assembly-independent  directorial republic|Swiss franc
Syrian Arab Republic|Damascus|17500657|118.3|185180|Arabic|UTC+2|Unitary dominant-party semi-presidential Ba’athist republic under a hereditary military dictatorship|Syrian pound
Republic of Tajikistan|Dushanbe|9537645|48.6|143100|Tajik|UTC+5|Unitary presidential constitutional republic under a dominant-party authoritarian dictatorship|Somoni
United Republic of Tanzania|Dodoma|61193226|47.5|947303|Swahili|UTC+3|Unitary dominant party presidential democratic-socialist republic|Tanzanian shilling
Kingdom of Thailand|Bangkok|69950850|132.1|513120|Thai|UTC+7|Unitary parliamentary constitutional monarchy|Baht
Togolese Republic|Lomé|8608444|125.9|56785|French|UTC|Unitary presidential republic under a dominant-party authoritarian dictatorship|West African CFA franc
Kingdom of Tonga|Nukuʻalofa|100651|139|748|English|UTC+13|Unitary parliamentary  semi-constitutional monarchy|Paʻanga
Republic of Trinidad and Tobago|Port of Spain|1367558|264|5131|English|UTC-4|Unitary parliamentary constitutional republic|Trinidad and Tobago dollar
Republic of Tunisia|Tunis|11708370|71.65|163610|Arabic|UTC+1|Unitary semi-presidential constitutional republic|Tunisian dinar
Republic of Turkey|Ankara|83614362|109|783356|Turkish|UTC+3|Unitary presidential constitutional republic|Turkish lira
Turkmenistan|Ashgabat|6031187|10.5|491210|Turkmen|UTC+05|Unitary presidential republic under a totalitarian dictatorship|Turkmenistan manat
Tuvalu|Funafuti|11646|475.88|26|Tuvaluan|UTC+12|Unitary non-partisan parliamentary constitutional monarchy|Tuvaluan dollarAustralian dollar
Republic of Uganda|Kampala|42729036|157.1|241038|English|UTC+3|Unitary dominant-party presidential republic|Ugandan shilling
Ukraine|Kyiv|41319838|73.8|603628|Ukrainian|UTC+2|Unitary semi-presidential constitutional republic|Hryvnia
United Arab Emirates|Abu Dhabi|9890400|99|83600|Arabic|UTC+04:00|Federal elective semi-constitutional monarchy|UAE dirham
United Kingdom of Great Britain and Northern Ireland|London|67081000|270.7|242495|English|UTC|Unitary  parliamentary constitutional monarchy|Pound sterling
United States of America|Washington, D.C.|331449281|87/sq mi|3796742|English|UTC−4 to −12, +10, +11|Federal presidential constitutional republic|U.S. dollar
Oriental Republic of Uruguay|Montevideo|3518552|19.8|176215|Spanish|UTC−3|Unitary presidential constitutional republic|Uruguayan peso
Republic of Uzbekistan|Tashkent|35011180|74.1|448978|Uzbek|UTC+5|Unitary presidential constitutional republic|Uzbek som
Republic of Vanuatu|Port Vila|307815|19.7|12189|Bislama|UTC+11|Unitary parliamentary republic|Vatu
Vatican City State||453|924|0.49|Italian|UTC+1|Unitary Christian absolute monarchy|Euro
Bolivarian Republic of Venezuela|Caracas|28887118|33.74|916445|Spanish|UTC−4|Federal dominant-party presidential constitutional republic|Bolívar digital
Socialist Republic of Vietnam|Hanoi|96208984|295.0|331699|Vietnamese|UTC+07:00|Unitary Marxist–Leninist one-party socialist republic|đồng
Republic of Yemen|Sana'a|30491000|44.7|555000|Arabic|UTC+3|Unitary presidential constitutional republic|Yemeni rial
Republic of Zambia|Lusaka|17351708|17.2|752617|English|UTC+2|Unitary presidential constitutional republic|Zambian kwacha
Republic of Zimbabwe|Harare|15092171|26|390757|Chewa|UTC+2|Unitary dominant-party presidential constitutional republic|Zimbabwean dollar
Republic of Abkhazia|Sukhumi|245246|28|8665|Abkhaz|UTC+3|Unitary semi-presidential republic|Abkhazian apsarRussian rublee
Republic of Artsakh|Stepanakert|120000|0|0|Armenian|UTC+4|Unitary presidential republic|Artsakh dramArmenian dram
Cook Islands|Avarua|17459|42|236.7|English|UTC-10|Unitary constitutional monarchy|New Zealand dollar
Republic of Kosovo|Pristina|1935259|159|10887|Albanian|UTC+1|Unitary parliamentary constitutional republic|Euro
Niue|Alofi|1620|6.71|261.46|English|UTC−11|Unitary parliamentary constitutional monarchy under a non-partisan democracy|New Zealand dollar
Turkish Republic|Nicosia|326000|93|3355|Turkish|UTC+2|Unitary semi-presidential constitutional republic|Turkish lira
Sahrawi Arab Democratic Republic|El Aaiún|612000|0.37|266000|Arabic|UTC|Unitary one-party semi-presidential republic|de facto - Moroccan dirham
Republic of Somaliland|Hargeisa|57000000|28.27|177000|Somali|UTC+3|Unitary presidential republic|Somaliland shilling
Republic of South Ossetia – the State of Alania|Tskhinvali|53532|13.7|3900|Ossetiana|UTC+03:00|Semi-presidential republic|Russian ruble
Republic of China|Taipei|23451837|650|36197|Standard Chinese|UTC+8|Unitary semi-presidential democratic republic|New Taiwan dollar
Pridnestrovian Moldavian Republic|Tiraspol|469000|114|4163|Russiana|UTC+2|Unitary semi-presidential republic|Transnistrian rubled
